527,"Soczewica, suche ziarno"
528,"Soja, suche ziarno"
529,"Sola świeża"
530,"Sok ananasowy"
531,"Sok grejfrutowy"
532,"Sok jabłkowy"
533,"Sok marchwiowy"
534,"Sok pomarańczowy"
535,"Sok pomidorowy"
536,"Sok z czarnej porzeczki"
537,"Sprite, napój"
538,"Syrop truskawkowy"
539,"Szampan półsłodki"
540,"Szampan półwytrawny"
541,"Szampan słodki"
542,Szczaw
543,"Szczupak świeży"
544,Szczypiorek
545,Szparagi
546,Szpinak
547,"Szponder wołowy"
548,"Szprot wędzony"
549,"Szynka surowa wieprzowa"
550,"Szynka wędzona gotowana"
551,"Śmietana 12% tłuszczu"
552,"Śmietana 18% tłuszczu"
553,"Śmietanka do kawy 9% tłuszczu"
554,"Śmietanka kremowa 30% tłuszczu"
555,"Śledź solony"
556,"Śledź świeży"
557,"Śledź w oleju, konserwa"
558,"Śledź w pomidorach, konserwa"
559,Śliwki
560,"Śliwki suszone"
561,Truskawki
562,"Truskawki w galaretce"
563,"Truskawki z bitą śmietaną"
564,"Truskawki, dżem niskosłodzony"
565,"Truskawki, dżem wysokosłodzony"
566,"Tuńczyk w oleju"
567,"Tuńczyk w wodzie"
568,"Wafle nadziewane"
569,"Wafle w czekoladzie"
570,"Wątroba cielęca"
571,"Wątroba wieprzowa"
572,"Wątroba wołowa"
573,"Wątróbka wieprzowa saute"
574,"Wędzonka wołowa gotowana"
575,"Węgorz wędzony"
576,"Wieprzowina duszona"
577,"Wieprzowina gotowana"
578,Winogrona
579,"Wiórki kokosowe"
580,Wiśnie
581,"Wiśnie, dżem niskosłodzony"
582,"Wiśnie, dżem wysokosłodzony"
583,"Włoszczyzna mrożona"
584,"Wołowina, pieczeń"
585,"Wołowina, polędwica"
586,"Wołowina, rostbef"
587,"Wołowina, rozbratel"
588,"Wołowina, szponder"
589,"Ziemniaki późne"
590,"Ziemniaki puree"
591,"Ziemniaki wczesne"
592,"Ziemniaki z tłuszczem"
593,"Zupa cebulowa"
594,"Zupa cytrynowa z ryżem"
595,"Zupa fasolowa"
